dirty,4_lessfreq,home,
rubbish,3_freq,home,
gas,4_lessfreq,home,
electricity,4_lessfreq,home,
last,3_freq,calendar,
year,1_essential,calendar,
this,1_essential,calendar,
two years ago,3_freq,calendar,
date,1_essential,calendar,
month,1_essential,calendar,
birthday,1_essential,calendar,
today,1_essential,calendar,
yesterday,2_veryfreq,calendar,
tomorrow,2_veryfreq,calendar,
now,1_essential,calendar,
later,3_freq,calendar,
sometimes,2_veryfreq,calendar,
never,1_essential,calendar,
weekend,2_veryfreq,calendar,
seasons,3_freq,calendar,
after,3_freq,calendar,
spring,3_freq,calendar,
summer,3_freq,calendar,
autumn,3_freq,calendar,
winter,3_freq,calendar,
first,1_essential,calendar,
christmas eve,3_freq,calendar,
christmas day,2_veryfreq,calendar,
boxing day,3_freq,calendar,
new years eve,2_veryfreq,calendar,
easter,3_freq,calendar,
bank holiday,2_veryfreq,calendar,
fireworks,3_freq,calendar,
bonfire,3_freq,calendar,
halloween,3_freq,calendar,
remembrance day,3_freq,calendar,
wedding,3_freq,calendar,
anniversary,3_freq,calendar,
silver,3_freq,calendar,
golden,3_freq,calendar,
valentines,3_freq,calendar,
living room,2_veryfreq,home,
sofa,3_freq,home,
chair,3_freq,home,
curtains,3_freq,home,
table,2_veryfreq,home,
television,3_freq,home,
cupboard,3_freq,home,
toaster,3_freq,home,
freezer,3_freq,home,
fridge,3_freq,home,
kettle,3_freq,home,
pans,3_freq,home,
wash up,3_freq,home,
washing machine,3_freq,home,
bathroom,2_veryfreq,home,
sink,3_freq,home,
shower,3_freq,home,
towel,3_freq,home,
toothbrush,3_freq,home,
taps,3_freq,home,
bedroom,2_veryfreq,home,
wardrobe,3_freq,home,
drawer,3_freq,home,
blanket,3_freq,home,
pillow,3_freq,home,
sheet,3_freq,home,
january,2_veryfreq,calendar,month_words
february,2_veryfreq,calendar,month_words
march,2_veryfreq,calendar,month_words
april,2_veryfreq,calendar,month_words
may,2_veryfreq,calendar,month_words
june,2_veryfreq,calendar,month_words
july,2_veryfreq,calendar,month_words
august,2_veryfreq,calendar,month_words
september,2_veryfreq,calendar,month_words
october,2_veryfreq,calendar,month_words
november,2_veryfreq,calendar,month_words
december,2_veryfreq,calendar,month_words
monday,2_veryfreq,calendar,day_words
tuesday,2_veryfreq,calendar,day_words
wednesday,2_veryfreq,calendar,day_words
thursday,2_veryfreq,calendar,day_words
friday,2_veryfreq,calendar,day_words
saturday,2_veryfreq,calendar,day_words
sunday,2_veryfreq,calendar,day_words
sport,2_veryfreq,sports,
badminton,4_lessfreq,sports,
basketball,3_freq,sports,
cricket,4_lessfreq,sports,
cycling,4_lessfreq,sports,
fishing,3_freq,sports,
football,3_freq,sports,
rugby,4_lessfreq,sports,
running,3_freq,sports,
sailing,4_lessfreq,sports,
skiing,4_lessfreq,sports,
swimming,4_lessfreq,sports,
tennis,4_lessfreq,sports,
horseriding,4_lessfreq,sports,
snooker,4_lessfreq,sports,
parachuting,4_lessfreq,sports,
bowling,4_lessfreq,sports,
hour,2_veryfreq,time,
minutes,2_veryfreq,time,
seconds,3_freq,time,
quarter to,3_freq,time,
quarter past,3_freq,time,
half,3_freq,time,
past,3_freq,time,
reading,3_freq,hobbies,
sewing,4_lessfreq,hobbies,
eating,3_freq,hobbies,
music,3_freq,hobbies,
gardening,4_lessfreq,hobbies,
cooking,3_freq,hobbies,
friends,3_freq,hobbies,
photography,4_lessfreq,hobbies,
dance,4_lessfreq,hobbies,
sign language class,3_freq,hobbies,
cake,4_lessfreq,hobbies,
decorating,4_lessfreq,hobbies,
baking,3_freq,hobbies,
theatre,4_lessfreq,hobbies,
cinema,3_freq,hobbies,
deaf club,4_lessfreq,hobbies,
eating out,4_lessfreq,hobbies,
climbing,4_lessfreq,hobbies,
walking,3_freq,hobbies,
camping,4_lessfreq,hobbies,
mountains,3_freq,hobbies,
drama,3_freq,hobbies,
museum,3_freq,hobbies,
class,4_lessfreq,hobbies,
knitting,4_lessfreq,hobbies,
holiday,3_freq,hobbies,
day trip,4_lessfreq,hobbies,
seaside,4_lessfreq,hobbies,
beach,3_freq,hobbies,
DIY,4_lessfreq,hobbies,
computer games,4_lessfreq,hobbies,
